iter	Passed	Remaining
604	1174	766
605	1175	764
606	1176	761
607	1177	758
608	1178	756
609	1179	753
610	1180	751
611	1180	748
612	1181	746
613	1182	743
614	1184	741
615	1187	740
616	1188	737
617	1189	735
618	1190	732
619	1190	729
620	1191	727
621	1192	724
622	1193	722
623	1194	719
624	1195	717
625	1196	715
626	1198	713
627	1205	713
628	1207	712
629	1210	710
630	1211	708
631	1213	706
632	1216	705
633	1218	703
634	1219	700
635	1221	699
636	1225	698
637	1227	696
638	1232	696
639	1233	694
640	1235	691
641	1236	689
642	1237	687
643	1238	684
644	1240	682
645	1241	680
646	1242	678
647	1244	676
648	1248	675
649	1250	673
650	1251	670
651	1252	668
652	1253	666
653	1255	664
654	1256	661
655	1258	659
656	1260	657
657	1262	656
658	1263	653
659	1264	651
660	1266	649
661	1267	647
662	1269	645
663	1270	643
664	1272	640
665	1274	639
666	1277	637
667	1279	635
668	1280	633
669	1282	631
670	1284	629
671	1286	628
672	1289	626
673	1292	625
674	1293	622
675	1294	620
676	1296	618
677	1298	616
678	1299	614
679	1300	612
680	1302	610
681	1304	608
682	1306	606
683	1307	604
684	1308	601
685	1309	599
686	1312	598
687	1315	596
688	1316	594
689	1318	592
690	1321	590
691	1322	588
692	1323	586
693	1326	584
694	1327	582
695	1329	580
696	1330	578
697	1331	576
698	1336	575
699	1337	573
700	1338	570
701	1340	568
702	1341	566
703	1342	564
704	1344	562
705	1345	560
706	1346	558
707	1348	556
708	1349	554
709	1351	551
710	1352	549
711	1354	547
712	1355	545
713	1356	543
714	1357	541
715	1358	538
716	1359	536
717	1361	534
718	1363	532
719	1364	530
720	1365	528
721	1366	526
722	1367	524
723	1368	521
724	1369	519
725	1370	517
726	1371	514
727	1372	512
728	1373	510
729	1374	508
730	1375	506
731	1378	504
732	1379	502
733	1380	500
734	1381	498
735	1382	495
736	1383	493
737	1384	491
738	1385	489
739	1386	487
740	1387	484
741	1387	482
742	1388	480
743	1389	478
744	1391	476
745	1393	474
746	1394	472
747	1395	470
748	1396	468
749	1397	465
750	1398	463
751	1399	461
752	1400	459
753	1401	457
754	1402	454
755	1402	452
756	1403	450
757	1405	448
758	1406	446
759	1407	444
760	1409	442
761	1410	440
762	1411	438
763	1412	436
764	1414	434
765	1415	432
766	1416	430
767	1417	428
768	1417	425
769	1419	423
770	1421	422
771	1423	420
772	1424	418
773	1425	416
774	1425	413
775	1426	411
776	1427	409
777	1428	407
778	1429	405
779	1430	403
780	1431	401
781	1432	399
782	1433	397
783	1434	395
784	1437	393
785	1438	391
786	1439	389
787	1440	387
788	1441	385
789	1442	383
790	1443	381
791	1444	379
792	1445	377
793	1445	375
794	1446	373
795	1447	370
796	1448	369
797	1452	367
798	1452	365
799	1453	363
800	1454	361
801	1455	359
802	1456	357
803	1457	355
804	1458	353
805	1459	351
806	1460	349
807	1461	347
808	1462	345
809	1463	343
810	1467	341
811	1468	339
812	1469	337
813	1470	335
814	1471	333
815	1471	331
816	1472	329
817	1473	327
818	1474	325
819	1475	323
820	1476	321
821	1477	319
822	1480	318
823	1481	316
824	1482	314
825	1483	312
826	1484	310
827	1485	308
828	1486	306
829	1487	304
830	1488	302
831	1489	300
832	1490	298
833	1490	296
834	1492	294
835	1493	293
836	1495	291
837	1496	289
838	1497	287
839	1498	285
840	1499	283
